    0.6725911632E+01    0.2576601445E+00    0.2873633514E+00    0.2463457138E+00   -0.2579304632E+00   -0.1604674489E+00    0.3706822451E+00   -0.2043794565E+00    0.3460490926E+00   -0.2604618853E+00    0.4943392091E+00
    0.7017033339E+01   -0.7712958378E-01   -0.8499174605E-01   -0.7417896200E-01    0.7744663234E-01    0.1570226253E+00   -0.1139953857E+00    0.1171955971E+00    0.1389668199E+00    0.7720998952E-01    0.4369677529E+00
    0.6491361694E+01   -0.9228706953E-01   -0.1017017267E+00   -0.8884862138E-01    0.9263002069E-01    0.1714279262E+00   -0.1366718323E+00    0.1318023252E+00    0.1291983794E+00    0.9242164886E-01    0.4343320037E+00
    0.6715167358E+01    0.3355108166E+00    0.3766600054E+00    0.3218118962E+00   -0.3378079417E+00   -0.2361584330E+00    0.4818058149E+00   -0.2809112512E+00    0.3931751011E+00   -0.3418615626E+00    0.5079358804E+00
    0.5823474229E+01    0.7551202102E-01    0.8339750855E-01    0.7214182912E-01   -0.7480029240E-01    0.1278294183E-01    0.1098038098E+00   -0.2899067369E-01    0.2349747428E+00   -0.7556202981E-01    0.4631564171E+00
    0.4959518377E+01   -0.5278200101E-02   -0.5818493738E-02   -0.5056140107E-02    0.5707082066E-02    0.8901257895E-01   -0.7734771877E-02    0.4825141256E-01    0.1846422668E+00    0.5287105764E-02    0.4493560372E+00
    0.5152288344E+01    0.2609945515E+00    0.2911554949E+00    0.2495590727E+00   -0.2613258889E+00   -0.1636816062E+00    0.3754374709E+00   -0.2076306852E+00    0.3480672242E+00   -0.2639099585E+00    0.4949166205E+00
    0.6466867620E+01   -0.4048597466E+00   -0.4526643573E+00   -0.4052706326E+00    0.4168325266E+00    0.4799359175E+00   -0.6371467912E+00    0.4449341859E+00   -0.8781790363E-01    0.4168254577E+00    0.3761383718E+00
    0.6060697840E+01    0.5075607194E+00    0.5812057937E+00    0.4935115008E+00   -0.5200740288E+00   -0.4103385030E+00    0.7301584399E+00   -0.4566662370E+00    0.4985772389E+00   -0.5309910007E+00    0.5392618935E+00
    0.6502427120E+01   -0.3481351064E+00   -0.3874567299E+00   -0.3450572119E+00    0.3555962136E+00    0.4215461232E+00   -0.5401402683E+00    0.3856194284E+00   -0.4562703304E-01    0.3555810883E+00    0.3875061292E+00
